מספר סידורי,קישור-באתר,שם הסרט,שנה,אורך,ז'אנר,שחקנים,תיקייה 
1003,http://www.torec.net/sub.asp?sub_id=35893,לשדוד את המאפיה,2014,104 דקות,דרמה / פשע,מייקל פיט אנדי גארסיה ריי רומנו פרנק וויילי סמירה וויילי גריפין דאן מייקל ריספולי ברט יאנג אידה טורטורו יול וסקז ג'וזף ר. גנסקולי נינה אריאנדה אדם טרס,movies/לשדוד את המאפיה.txt
1004,http://www.torec.net/sub.asp?sub_id=35763,לגו סרט,2014,100 דקות,אנימציה / פעולה / קומדיה,ליאם ניסן מורגן פרימן וויל פארל אליזבת בנקס וויל ארנט ניק אופרמן כריס פראט,movies/לגו סרט.txt
1005,http://www.torec.net/sub.asp?sub_id=35890,הצורך במהירות,2014,130 דקות,פעולה / פשע,אהרון פול מייקל קיטון אימוגן פוטס דומיניק קופר קאילי אליסנו דקוטה ג'ונסון האן סוטו,movies/הצורך במהירות.txt
1006,http://www.torec.net/sub.asp?sub_id=35887,הקשר הקולומביאני,2011,95 דקות,מיסתורין / פעולה / פשע,טום סייזמור רוברט פורסטר ברטי היגינס ביאנקה מלינובסקי,movies/הקשר הקולומביאני.txt
1007,http://www.torec.net/sub.asp?sub_id=35798,הפשיטה 2,2014,148 דקות,דרמה / מתח / פשע / זר (אינדונזית),,movies/הפשיטה 2.txt
1008,http://www.torec.net/sub.asp?sub_id=35877,החבובות מבוקשות,2014,107 דקות,הרפתקאות / פשע / קומדיה,כריסטין אמס ריי ליוטה טיל שוויגר טיי בורל טינה פיי אשר ריימונד דקסטר פלטשר,movies/החבובות מבוקשות.txt
1009,http://www.torec.net/sub.asp?sub_id=35861,מלך בניו יורק,1957,105 דקות,דרמה / קומדיה,אוליבר ג'ונסטון דון אדמס סיד ג'יימס אי מיצ'אל צ'אפלין אי פהיל ברוון אלן גיפורד אי רוברט קאודרון,movies/מלך בניו יורק.txt
1010,http://www.torec.net/sub.asp?sub_id=35555,חורבה כחולה,2013,90 דקות,מתח,מייקון בלייר דווין ראטריי איימי הארגרייבס קווין קולאק איב פלאמב,movies/חורבה כחולה.txt
1011,http://www.torec.net/sub.asp?sub_id=35852,נימפומנית חלק ראשון,2013,118 דקות,דרמה,סטלן סקארגארד שיה לה באף כריסטיאן סלייטר אומה תורמן ווילאם דפו סופהי קאנדי כלרק קוני נילסן,movies/נימפומנית חלק ראשון.txt
1012,http://www.torec.net/sub.asp?sub_id=35839,לואיס ס.קיי - אלוהים אדירים,2013,58 דקות,קומדיה,לואיס ס.קיי,movies/לואיס ס.קיי - אלוהים אדירים.txt
1013,http://www.torec.net/sub.asp?sub_id=35843,עלי כותרת עפים ברוח,2014,85 דקות,דרמה / מתח / רומנטיקה,,movies/עלי כותרת עפים ברוח.txt
1014,http://www.torec.net/sub.asp?sub_id=35094,רכבת הקרח,2013,126 דקות,דרמה / מדע בדיוני / פעולה,אמה לוי ג'והן הארט אד האריס קני דוטי ג'יימי בל טילדה סווינטון איוון ברימנר,movies/רכבת הקרח.txt
1015,http://www.torec.net/sub.asp?sub_id=35837,אידה,2014,80 דקות,דרמה,אגטה קולסזה אגטה טרזבצ'ובסקה דוויד אוגרודניק ג'ואנה קוליג,movies/אידה.txt
1016,http://www.torec.net/sub.asp?sub_id=35834,פרחים בעליית הגג,2014,86 דקות,דרמה / מיסתורין / מתח,,movies/פרחים בעליית הגג.txt
1017,http://www.torec.net/sub.asp?sub_id=35810,בקו העימות,2011,89 דקות,דרמה / קומדיה,מרטין מקכן מרי ג'ונס ברנדן פרייזר לורנס דוהרטי דוויד או'הארה ג'ונתן הארדן אמה האמילטון,movies/בקו העימות.txt
1018,http://www.torec.net/sub.asp?sub_id=6638,ספרות זולה,1994,154 דקות,פשע / קומדיה שחורה / פעולה / דרמה,ג'ון טרבולטה סמואל ל . ג'קסון אומה תרומן ברוס וויליס טים רות הארויי קייטל כריסטופר ווקן אריק סטולץ סטיב בושמי רוזנה ארקט,movies/ספרות זולה.txt
1019,http://www.torec.net/sub.asp?sub_id=35804,המשימה,1986,126 דקות,דרמה / היסטוריה / הרפתקאות70/100,רוברט דה נירו איידן קווין ג'רמי איירונס,movies/המשימה.txt
1020,http://www.torec.net/sub.asp?sub_id=35100,300 עלייתה של האימפריה,2014,102 דקות,דרמה / פעולה,לנה האדי דיוויד וונהם סוליבן סטפלטון אשרף ברהום ג'וליאן סטון רודריגו סאנטורו אנדרו פלווין,movies/300 עלייתה של האימפריה.txt
1021,http://www.torec.net/sub.asp?sub_id=15988,כופר,1996,121 דקות,דרמה / מתח / פעולה / פשע,מל גיבסון רנה רוסו ברולי נולטה גארי סיניס דלרוי לינדו לילי טיילור ליב שרייבר,movies/כופר.txt
1022,http://www.torec.net/sub.asp?sub_id=4354,הנמלט,1993,130 דקות,פעולה / מתח,הריסון פורד טומי לי ג'ונס ג'וליאן מור ג'ו פנטוליאנו אנדראס קטסולאס סלה וורד,movies/הנמלט.txt
1023,http://www.torec.net/sub.asp?sub_id=35762,עמק הזאבים 2,2013,106 דקות,אימה / מתח,ג'ון ג'ארט ריאן קור שאנון אשלין פהיליף לרוי שיין קונור בן גררד,movies/עמק הזאבים 2.txt
1024,http://www.torec.net/sub.asp?sub_id=35761,לברוח מהמחר,2013,90 דקות,אימה / פנטזיה,,movies/לברוח מהמחר.txt
1025,http://www.torec.net/sub.asp?sub_id=2664,מחיר הבגידה,2005, ,"מתח, דרמה",קלייב אוון גניפר אניסטן וינסנט קאסל,movies/מחיר הבגידה.txt
1026,http://www.torec.net/sub.asp?sub_id=32677,פארקר,2013,118 דקות,פעולה / פשע / מתח,ג'ייסון סטאת'אם ג'ניפר לופז מייקל צ'יקליס וונדל פירס קליפטון קולינס ג'וניור בובי קנבייל פאטי לו'פון ניק נולטי אמה בות' סאלה בייקר,movies/פארקר.txt
1027,http://www.torec.net/sub.asp?sub_id=35749,ילדי הקנאביס,2014,110 דקות,דרמה,,movies/ילדי הקנאביס.txt
1028,http://www.torec.net/sub.asp?sub_id=35748,ריקוד הדרורים,2012,81 דקות,דרמה / קומדיה / רומנטיקה,מרין אירלנד פול ספארקס זוראן רדאנוביץ' אנתוני ארקין,movies/ריקוד הדרורים.txt
1029,http://www.torec.net/sub.asp?sub_id=35738,רחוב 5,2013,102 דקות,פעולה / פשע,כריסטיאן מונזון אדם לופז תומי נאש,movies/רחוב 5.txt
1030,http://www.torec.net/sub.asp?sub_id=35737,המושלמת,2013,90 דקות,דרמה / קומדיה,זואי קאזאן ג'ייק ג'ונסון רון ליווינגסטון ג'רמי האוורד אלכס-פרנכס שאו,movies/המושלמת.txt
1031,http://www.torec.net/sub.asp?sub_id=35730,סיפורי בית העבוט,2013,112 דקות,פעולה / קומדיה,תומאס ג'יין פול ווקר די-ג'י קואלס צ'י מקבריג' אלייז'ה ווד סאם הנינג אשלי סימפסון,movies/סיפורי בית העבוט.txt
1032,http://www.torec.net/sub.asp?sub_id=35688,לעולם אל תשחקו עם זרים 3,2014,96 דקות,מתח,קירסטן פראוט בן הולינגסוורת' קן קירזינגלר דין ארמסטרונג ג'סי האטץ',movies/לעולם אל תשחקו עם זרים 3.txt
1033,http://www.torec.net/sub.asp?sub_id=31231,הדיבוק,2012,92 דקות,אימה / מתח,נטשה קאליס גרנט שו ג'ון קסיני קירה סדג'וויק נהנה גיבוניו רוב לייבל,movies/הדיבוק.txt
1034,http://www.torec.net/sub.asp?sub_id=35726,לב שווה,2014,132 דקות,דרמה,ג'וליה רוברטס מארק רופאלו טיילור קיטש מאט בומר ויליאם הנדרסון וויט דניס או'הר רמי אוברג'ונואה,movies/לב שווה.txt
1035,http://www.torec.net/sub.asp?sub_id=30527,השטן שבפנים,2012,83 דקות,אימה / מתח,סיימון קורטרמן אוון הלמות בוני מורגן,movies/השטן שבפנים.txt
1036,http://www.torec.net/sub.asp?sub_id=35289,אויב,2013,90 דקות,מתח,ג'ושוע פיס לורטה יו ג'ייק ג'ילנהול טים פוסט סטפן ר הארט ג'יין מופט מלאני לוראנט,movies/אויב.txt
1037,http://www.torec.net/sub.asp?sub_id=35707,אבודה במיני,2014,95 דקות,קומדיה,ביל בור קן דויטיאן אלפונסו מקאולי ריצ'ארד קברל ג'יימס מרסדן ווילי גרסון אליזבת בנקס,movies/אבודה במיני.txt
1038,http://www.torec.net/sub.asp?sub_id=35692,נקמה מתוקה,2013,95 דקות,מערבון,אד האריס ג'נוארי ג'ונס ג'ייסון אייזקס אדוארדו נורייגה סטפן רוט,movies/נקמה מתוקה.txt
1039,http://www.torec.net/sub.asp?sub_id=35284,בדם,2014,108 דקות,מתח / פעולה / פשע,ג'ינה קראנו קאם ג'יגנדה דני טרחו לואיס גוזמן סטיבן לאנג אמורי נולסקו טריט ויליאמס יבט יטס,movies/בדם.txt
1040,http://www.torec.net/sub.asp?sub_id=35691,מלון גרנד בודפסט,2014,100 דקות,דרמה / קומדיה,ווילאם דפו ביל מארי אדוארד נורטון ג'וד לאו אוון וילסון טום וילקינסון ראלף פיינס,movies/מלון גרנד בודפסט.txt
1041,http://www.torec.net/sub.asp?sub_id=35165,קשרי דם,2013,127 דקות,דרמה / מתח / פשע,קלייב אואן בילי קרודופ ג'יימס קאן נוח אמריש לילי טיילור ג'ון ונטימיגליה מתיאס שואנארטס,movies/קשרי דם.txt
1042,http://www.torec.net/sub.asp?sub_id=35281,ג'ו,2013,117 דקות,דרמה,ניקולס קייג' תי שרידן רוני קיין בלווינס האט'ר קפקה,movies/ג'ו.txt
1043,http://www.torec.net/sub.asp?sub_id=35686,סטלינגרד,2013,131 דקות,מלחמה / פעולה,פיוטר פיודורוב תומאס קרצ'מן,movies/סטלינגרד.txt
1044,http://www.torec.net/sub.asp?sub_id=35628,אגדת חורף,2014,118 דקות,דרמה / מיסתורין / פנטזיה,קולין פארל ג'סיקה בראון פינדלי ראסל קרואו וויל סמית' ג'ניפר קונלי וויליאם הארט,movies/אגדת חורף.txt
1045,http://www.torec.net/sub.asp?sub_id=5665,מלחמת הכוכבים פרק 2 - מתקפת המשובטים,2002,142 דקות,פעולה / הרפתקאות / מדע בדיוני / פנטזיה,יואן מק'גרגור נטלי פורטמן היידן כריסטנסן כריסטופר לי סמואל ל. ג'קסון פרנק אוז איאן מקדירמיד רוז ביירן פרניליה אוגוסט ג'ימי סמיתס,movies/מלחמת הכוכבים פרק 2 - מתקפת המשובטים.txt
1046,http://www.torec.net/sub.asp?sub_id=35670,הקיץ שלי לאהבה,2004,86 דקות,דרמה / רומנטיקה,נטלי פרס אמילי בלאנט פאדי קונסידין דין אנדרו,movies/הקיץ שלי לאהבה.txt
1047,http://www.torec.net/sub.asp?sub_id=35666,דרך הרשעים,2014,92 דקות,מתח,ויני ג'ונס כריסטיאן סלייטר מילי תננט,movies/דרך הרשעים.txt
1048,http://www.torec.net/sub.asp?sub_id=5666,מלחמת הכוכבים פרק 1 - אימת הפנטום,1999,133 דקות,פעולה / הרפתקאות / מדע בדיוני / פנטזיה,יואן מק'גרגור ליאם ניסן נטלי פורטמן ג'ייק לויד פרניליה אוגוסט פרנק אוז איאן מקדירמיד ריי פארק אוליבר פורד דייויס טרנס סטמפ סמואל ל. ג'קסון קירה נייטלי סופיה קופולה,movies/מלחמת הכוכבים פרק 1 - אימת הפנטום.txt
1049,http://www.torec.net/sub.asp?sub_id=35659,לוחם מתנקש,2013,94 דקות,פעולה,,movies/לוחם מתנקש.txt
1050,http://www.torec.net/sub.asp?sub_id=35653,היחלצות,2013,106 דקות,פעולה,ג'ון פו פלק האנטסצ'ל ויני ג'ונס דני גלובר שון אסטין,movies/היחלצות.txt
1051,http://www.torec.net/sub.asp?sub_id=35652,המהגרת,2013,120 דקות,דרמה / מיסתורין / רומנטיקה,,movies/המהגרת.txt
1052,http://www.torec.net/sub.asp?sub_id=35647,לאנץ' בוקס,2013,104 דקות,דרמה / רומנטיקה / זר (הודית),ירפאן קהן נוואזואדין סידיקוי נימראק קאור,movies/לאנץ' בוקס.txt
1053,http://www.torec.net/sub.asp?sub_id=35640,המחברת הגדולה,2013,109 דקות,דרמה / מלחמה / זר (הונגרית),אנדרש גיאמנט לזלו גיאמנט פירושקה מולנר,movies/המחברת הגדולה.txt
1054,http://www.torec.net/sub.asp?sub_id=35634,נון-סטופ,2014,106 דקות,מיסתורין / מתח / פעולה,ליאם ניסן ג'וליאן מור אנסון מאונט מישל דוקרי נייט פארקר לינוס רואצ'ה ג'ייסון באטלר הארנר,movies/נון-סטופ.txt
1055,http://www.torec.net/sub.asp?sub_id=35623,טינקרבל ופיית הפיראטים,2014,78 דקות,אנימציה,טום הידלסטון כריסטינה הנדריקס,movies/טינקרבל ופיית הפיראטים.txt
1056,http://www.torec.net/sub.asp?sub_id=35621,סוף שבוע בפריז,2013,93 דקות,דרמה / קומדיה,ג'ים ברודבנט לינדזי דנק ג'ף גולדבלום אולי אלכסנדר ג'ודית דיוויס,movies/סוף שבוע בפריז.txt
